timestep,group,group_members,MSEUr,DTUr,sched_members,sched_members_complete,decision,reward
1,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr, Q3)","inc(DTUr, MAX)","[[0, 1, 3, 4, 6], [2, 5]]","[[0, 1, 3, 4, 6], [2, 5]]","const(G0, NaN, 75)",0.717
2,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr, Q3)","inc(DTUr, MAX)","[[1, 2, 4, 5, 6], [0, 3]]","[[1, 2, 4, 5, 6], [0, 3]]","const(G0, NaN, 75)",0.701
3,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr, Q3)","inc(DTUr, MAX)","[[0, 1, 2, 4, 5, 6], [3]]","[[0, 1, 2, 4, 5, 6], [3]]","inc(G0, Q4, 75)",0.75
4,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr, Q3)","inc(DTUr, Q4)","[[0, 1, 2, 3, 5, 6], [4]]","[[0, 1, 2, 3, 5, 6], [4]]","const(G0, Q4, 75)",0.796
5,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr, Q3)","inc(DTUr, Q4)","[[0, 1, 2, 4, 5, 6], [3]]","[[0, 1, 2, 4, 5, 6], [3]]","const(G0, Q4, 75)",0.775
6,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr, Q3)","inc(DTUr, Q4)","[[1, 3, 4, 5], [0, 2, 6]]","[[1, 3, 4, 5], [0, 2, 6]]","dec(G0, Q1, 50)",0.675
7,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr, Q3)","inc(DTUr, Q4)","[[0, 2, 5], [1, 3, 4, 6]]","[[0, 2, 5], [1, 3, 4, 6]]","dec(G0, Q1, 50)",0.615
8,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr, Q3)","inc(DTUr, Q4)","[[1], [0, 2, 3, 4, 5, 6]]","[[1], [0, 2, 3, 4, 5, 6]]","dec(G0, Q1, 25)",0.526
9,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr, Q3)","const(DTUr, Q4)","[[0], [1, 2, 3, 4, 5, 6]]","[[0], [1, 2, 3, 4, 5, 6]]","const(G0, Q1, 25)",0.517
10,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr, Q3)","const(DTUr, Q4)","[[4], [0, 1, 2, 3, 5, 6]]","[[4], [0, 1, 2, 3, 5, 6]]","const(G0, Q1, 25)",0.513
